beryllium, animal brooch, seductress, tall, narrow hips, triangular face, fair skin, dark brown hair, coral eyes, long nose, thick lips, round chin, long hair, thick hair, formal braided updo, round breasts, hoop earrings, silver, velvet lipstick, purple velvet bra and panty set with lace trim
cadmium, toggle bracelet, sensation, short, lean, heart-shaped face, olive skin, chestnut hair, hazel eyes, long nose, thick lips, receding chin, shoulder-length hair, wavy hair, messy top knot, firm breasts, hoop earrings, berry, stain lipstick, red mesh chemise with strappy back detail
cadmium, toggle bracelet, woman, short, firm, round face, fair skin, platinum blonde hair, black eyes, narrow nose, pouty lips, prominent chin, long hair, wavy hair, blunt cut bangs, natural breasts, huggie earrings, violet, velvet lipstick, red mesh chemise with strappy back detail
cadmium, torc necklace, charmer, short, thin, square face, fair skin, platinum blonde hair, jade eyes, narrow nose, thin lips, round chin, long hair, wavy hair, long curly hair, augmented breasts, stud earrings, green, gloss lipstick, crimson velvet cami and short set
gallium, animal brooch, duchess, tall, thin, round face, fair skin, silver hair, grey eyes, [[curved nose]], pouty lips, receding chin, long hair, fine hair, low ponytail, soft breasts, cuff earrings, gloss, cream lipstick, white satin and lace bra and panty set
gallium, ankle bracelet, female viking, tall, skinny, heart-shaped face, tan skin, strawberry blonde hair, aquamarine eyes, narrow nose, full lips, round chin, shoulder-length hair, fine hair, afro, soft breasts, drop earrings, cream, stain lipstick, navy blue satin garter belt with suspenders
gallium, ankle bracelet, vixen, short, wide hips, oval face, dark skin, auburn hair, turquoise eyes, [[curved nose]], thick lips, prominent chin, long hair, wavy hair, swept bangs, asymmetrical breasts, dangle earrings, violet, matte lipstick, black cutout bodysuit with zipper
gallium, ankle cuff, empress, tall, wide hips, triangular face, olive skin, red hair, grey-blue eyes, wide nose, thick lips, round chin, shoulder-length hair, thick hair, side french braid, soft breasts, faux gauge earrings, beige, satin lipstick, charcoal sheer bra and panty set
gallium, ankle cuff, female viking, short, narrow hips, triangular face, tan skin, silver hair, brown eyes, wide nose, thin lips, round chin, shoulder-length hair, curly hair, high messy bun, asymmetrical breasts, dangle earrings, green, stain lipstick, purple velvet slip with lace trim
gallium, ankle cuff, starlet, tall, lean, oval face, fair skin, silver hair, brown eyes with green flecks, short nose, thin lips, round chin, shoulder-length hair, straight hair, bun, small breasts, stud earrings, silver, matte lipstick, yellow mesh bralette and high-waisted panty set
gallium, ankle strap, female viking, average height, thin, triangular face, dark skin, chestnut hair, ice blue eyes, narrow nose, full lips, receding chin, long hair, coarse hair, fringed bangs, firm breasts, drop earrings, red, satin lipstick, orange satin slip
gallium, ankle strap, gal, tall, toned, triangular face, dark skin, dark brown hair, peach eyes, straight nose, thin lips, sharp chin, shoulder-length hair, wavy hair, viking braid, full breasts, huggie earrings, peach, satin lipstick, pink lace chemise with ruffle details
gallium, ankle strap, phenom, short, narrow hips, heart-shaped face, olive skin, gray hair, pink eyes, short nose, pouty lips, receding chin, shoulder-length hair, wavy hair, frohawk, asymmetrical breasts, clip-on earrings, berry, velvet lipstick, tan faux leather slip dress
gallium, ankle strap, superwoman, tall, skinny, heart-shaped face, tan skin, gray hair, peach eyes, straight nose, pouty lips, prominent chin, long hair, wavy hair, long straight hair, round breasts, cuff earrings, magenta, satin lipstick, green satin and lace garter belt with matching thong
gallium, anklet, baroness, average height, wide hips, heart-shaped face, olive skin, red hair, grey-blue eyes, straight nose, thin lips, sharp chin, shoulder-length hair, fine hair, long curly hair, full breasts, clip-on earrings, hot pink, satin lipstick, ivory lace teddy
gallium, anklet, queen, average height, slim, round face, fair skin, light brown hair, red eyes, straight nose, pouty lips, round chin, long hair, thick hair, straight updo, round breasts, drop earrings, teal, velvet lipstick, green sequin slip dress with thigh-high slits
gallium, anklet, seductress, short, toned, oval face, dark skin, red hair, yellow eyes, [[curved nose]], thin lips, prominent chin, shoulder-length hair, thick hair, high chignon, asymmetrical breasts, stud earrings, coral, metallic lipstick, white lace bralette and boyshorts set
gallium, anklet, sensation, average height, firm, square face, tan skin, silver hair, grey-blue eyes, long nose, thin lips, receding chin, shoulder-length hair, wavy hair, fauxhawk, natural breasts, drop earrings, silver, matte lipstick, black lace bustier
gallium, bangle bracelet, miss, tall, narrow hips, diamond-shaped face, fair skin, gray hair, hazel eyes with green flecks, wide nose, thick lips, receding chin, shoulder-length hair, wavy hair, sock bun, natural breasts, stud earrings, light pink, metallic lipstick, silver silk bra and panty set with garter belt
gallium, bangle bracelet, woman, average height, athletic, heart-shaped face, tan skin, blonde hair, green eyes, long nose, thick lips, prominent chin, shoulder-length hair, wavy hair, smooth waves, asymmetrical breasts, hoop earrings, berry, satin lipstick, pink floral corset
gallium, beaded bracelet, superwoman, tall, toned, square face, tan skin, strawberry blonde hair, amethyst eyes, short nose, full lips, prominent chin, long hair, straight hair, rope braid, round breasts, threader earrings, rose, gloss lipstick, pink floral corset
gallium, beaded necklace, dame, short, lean, square face, dark skin, golden blonde hair, green eyes, long nose, pouty lips, sharp chin, shoulder-length hair, thick hair, lace braid, soft breasts, stud earrings, nude, sheer lipstick, gold mesh bra and panty set with garter belt
gallium, beaded necklace, enigma, average height, lean, diamond-shaped face, olive skin, blonde hair, brown eyes with green flecks, narrow nose, pouty lips, receding chin, shoulder-length hair, wavy hair, voluminous waves, firm breasts, stud earrings, hot pink, matte lipstick, pink lace garter slip with matching thong
gallium, bib necklace, countess, tall, toned, round face, olive skin, gray hair, brown eyes, long nose, thin lips, round chin, shoulder-length hair, coarse hair, fauxhawk, soft breasts, stud earrings, red, metallic lipstick, red satin kimono with lace sleeve detail
gallium, bib necklace, goddess, average height, in shape, triangular face, fair skin, silver hair, pink eyes, long nose, full lips, prominent chin, shoulder-length hair, straight hair, middle part bangs, augmented breasts, huggie earrings, green, gloss lipstick, grey faux leather corset
gallium, bib necklace, goddess, short, wide hips, oval face, dark skin, light brown hair, pink eyes, [[curved nose]], thin lips, prominent chin, long hair, coarse hair, waterfall braid, asymmetrical breasts, drop earrings, soft pink, satin lipstick, green sequin slip dress with thigh-high slits
gallium, bib necklace, starlet, tall, skinny, square face, dark skin, golden blonde hair, green eyes, wide nose, full lips, sharp chin, long hair, coarse hair, messy beach waves, large breasts, cuff earrings, magenta, matte lipstick, blue satin and lace cami and short set
gallium, bracelet, countess, tall, wide hips, diamond-shaped face, fair skin, dark brown hair, silver eyes, [[curved nose]], pouty lips, round chin, shoulder-length hair, thick hair, straight bob with layers, augmented breasts, threader earrings, brown, cream lipstick, purple mesh babydoll with matching g-string
gallium, bracelet, diva, average height, toned, triangular face, tan skin, black hair, silver eyes, wide nose, thick lips, prominent chin, long hair, curly hair, double braided crown, firm breasts, hoop earrings, silver, matte lipstick, navy blue satin garter belt with suspenders
gallium, bracelet, lady, average height, wide hips, heart-shaped face, olive skin, strawberry blonde hair, grey-blue eyes, narrow nose, thick lips, sharp chin, long hair, wavy hair, fringed bangs, soft breasts, hoop earrings, teal, cream lipstick, blue strappy bodysuit with cutouts
gallium, bracelet, luminary, short, toned, heart-shaped face, olive skin, brunette hair, yellow eyes, long nose, thin lips, round chin, long hair, wavy hair, low ponytail, firm breasts, stud earrings, lavender, satin lipstick, orange satin slip
gallium, bracelet, madame, tall, slim, heart-shaped face, olive skin, golden blonde hair, brown eyes with green flecks, [[curved nose]], thick lips, sharp chin, long hair, curly hair, wedding updo, saggy breasts, hoop earrings, black, satin lipstick, fuchsia mesh halter bra and panty set
gallium, bracelet, mistress, average height, firm, oval face, olive skin, golden blonde hair, green eyes, straight nose, pouty lips, sharp chin, shoulder-length hair, straight hair, sock bun, perky breasts, clip-on earrings, red, matte lipstick, green silk bralette and panty set
gallium, bracelet, starlet, average height, slim, triangular face, fair skin, brunette hair, peach eyes, short nose, thin lips, round chin, long hair, fine hair, chignon, firm breasts, dangle earrings, plum, cream lipstick, purple velvet robe with fur trim
gallium, bracelet, vixen, tall, toned, triangular face, tan skin, white hair, jade eyes, long nose, pouty lips, round chin, long hair, curly hair, french twist, saggy breasts, dangle earrings, shimmer, stain lipstick, purple velvet robe with fur trim
gallium, brooch pin, temptress, average height, in shape, square face, fair skin, blonde hair, amber eyes, long nose, full lips, sharp chin, shoulder-length hair, coarse hair, voluminous waves, saggy breasts, dangle earrings, fuchsia, stain lipstick, gold mesh bra and panty set with garter belt
gallium, brooch, belle, short, slim, heart-shaped face, dark skin, brunette hair, aquamarine eyes, [[curved nose]], thick lips, sharp chin, long hair, wavy hair, curled bob, firm breasts, cuff earrings, magenta, sheer lipstick, pink lace chemise with ruffle details
gallium, chain bracelet, artist, tall, fit, triangular face, fair skin, blonde hair, ice blue eyes, wide nose, thin lips, receding chin, shoulder-length hair, thick hair, messy top knot, small breasts, dangle earrings, light pink, satin lipstick, ivory lace teddy
gallium, chain bracelet, babe, tall, slim, round face, dark skin, strawberry blonde hair, brown eyes with green flecks, long nose, pouty lips, receding chin, shoulder-length hair, coarse hair, smooth waves, natural breasts, drop earrings, silver, matte lipstick, pink floral corset
gallium, chain bracelet, lady, average height, lean, heart-shaped face, dark skin, dark brown hair, hazel eyes with green flecks, wide nose, thick lips, receding chin, shoulder-length hair, wavy hair, long curly hair, saggy breasts, dangle earrings, fuchsia, satin lipstick, navy blue satin garter belt with suspenders
gallium, charm bracelet, belle, average height, toned, round face, dark skin, honey blonde hair, blue eyes, straight nose, thin lips, receding chin, long hair, fine hair, french roll, asymmetrical breasts, threader earrings, mauve, matte lipstick, white satin and lace bra and panty set
